"","comment","like","share"
"267",2,75,24
"268",13,61,13
"269",26,162,7
"270",2,47,4
"271",6,696,28
"272",7,215,47
"273",22,534,31
"274",1,143,27
"275",18,46,7
"276",36,98,14
"277",0,25,5
"278",23,204,44
"279",11,202,5
"280",7,148,39
"281",1,40,8
"282",1,71,17
"283",0,104,13
"284",1,34,4
"285",11,129,12
"286",4,72,18
"287",0,15,3
"288",14,102,9
"289",103,469,33
"290",5,57,5
"291",0,23,2
"292",5,141,26
"293",0,19,5
"294",1,71,23
"295",0,72,21
"296",5,54,7
"297",5,93,19
"298",0,62,10
"299",0,78,16
"300",0,14,1
"301",11,231,43
"302",1,72,16
"303",9,197,28
"304",4,330,29
"305",0,148,7
"306",2,208,28
"307",12,148,28
"308",4,154,26
"309",3,142,18
"310",8,107,20
"311",0,22,3
"312",2,84,13
"313",2,59,12
"314",3,65,14
"315",0,24,4
"316",9,186,23
"317",0,58,17
"318",2,74,14
"319",2,180,44
"320",18,168,49
"321",0,36,5
"322",2,51,6
"323",2,67,14
"324",20,1372,47
"325",2,57,6
"326",2,33,10
"327",1,79,17
"328",3,97,22
"329",16,617,58
"330",7,139,34
"331",20,199,32
"332",1,107,26
"333",0,50,10
"334",0,64,20
"335",2,55,10
"336",1,142,37
"337",2,72,9
"338",4,79,16
"339",25,244,44
"340",25,307,58
"341",6,212,36
"342",2,95,17
"343",5,194,33
"344",6,101,29
"345",3,46,14
"346",3,156,20
"347",37,821,90
"348",1,58,13
"349",12,155,23
"350",45,1639,122
"351",3,155,32
"352",4,166,33
"353",6,210,39
"354",4,400,25
"355",2,98,18
"356",12,138,38
"357",3,148,16
"358",2,267,40
"359",1,144,29
"360",25,256,54
"361",3,72,24
"362",0,87,18
"363",1,129,36
"364",1,179,30
"365",9,194,33
"366",1,124,32
"367",4,304,47
"368",12,138,39
"369",4,41,9
"370",2,163,35
"371",45,407,76
"372",17,447,123
"373",7,38,11
"374",2,93,26
"375",0,59,16
"376",0,286,30
"377",0,66,13
"378",8,236,51
"379",2,152,11
"380",51,1998,128
"381",8,186,18
"382",11,235,34
"383",1,64,22
"384",2,92,28
"385",3,53,13
"386",5,140,38
"387",0,48,8
"388",0,112,14
"389",0,35,5
"390",4,37,3
"391",0,48,14
"392",6,766,109
"393",1,96,18
"394",1,57,13
"395",3,114,21
"396",1,51,6
"397",1,87,27
"398",5,81,11
"399",1,71,18
"400",9,164,52
"401",5,91,26
"402",9,329,38
"403",4,128,17
"404",1,379,40
"405",1,52,24
"406",1,63,26
"407",2,97,25
"408",2,56,9
"409",1,36,7
"410",4,138,26
"411",7,142,24
"412",1,75,15
"413",1,89,14
"414",2,63,16
"415",3,176,29
"416",7,227,15
"417",3,25,6
"418",0,0,0
"419",1,27,11
"420",0,39,14
"421",0,61,13
"422",0,32,7
"423",0,2,0
"424",8,109,3
"425",0,32,6
"426",2,68,15
"427",0,6,1
"428",4,213,13
"429",0,2,0
"430",0,3,0
"431",0,6,0
"432",0,4,0
"433",0,4,1
"434",12,211,14
"435",1,15,1
"436",11,95,4
"437",16,127,0
"438",0,136,13
"439",2,32,15
"440",1,76,9
"441",1,28,7
"442",0,0,0
"443",10,664,97
"444",1,62,10
"445",0,48,20
"446",1,55,7
"447",10,197,21
"448",6,88,24
"449",2,59,6
"450",6,234,26
"451",3,148,21
"452",0,96,29
"453",4,49,15
"454",3,98,27
"455",14,198,70
"456",5,159,53
"457",1,22,6
"458",6,154,18
"459",5,128,32
"460",2,129,32
"461",146,1546,181
"462",5,79,11
"463",19,214,78
"464",8,134,34
"465",9,268,36
"466",4,128,38
"467",3,47,21
"468",1,200,37
"469",5,264,36
"470",10,193,61
"471",4,114,13
"472",7,160,57
"473",0,46,15
"474",4,136,42
"475",0,73,13
"476",0,65,19
"477",7,579,47
"478",1,101,5
"479",1,74,31
"480",7,84,36
"481",56,360,99
"482",0,5,2
"483",3,187,36
"484",2,69,26
"485",2,82,24
"486",0,12,2
"487",2,56,25
"488",1,44,21
"489",21,277,80
"490",1,74,28
"491",1,79,30
"492",1,105,46
"493",0,128,9
"494",17,185,55
"495",10,125,41
"496",5,53,26
"497",0,53,22
"498",4,93,18
"499",7,91,38
"500",0,91,28
